tx_err_x,tx_err_y,tx_err_px
336.81287,20.73413,337.45047
453.8808,15.152466,454.13367
257.87653,8.618317,258.0205
346.39423,11.980469,346.60135
39.098145,15.411255,42.025845
171.29956,21.552216,172.65004
11.939148,5.5031433,13.1464
261.64575,18.347992,262.2883
57.322144,4.1997986,57.475792
33.88324,4.4691467,34.176704
103.80267,10.393982,104.32176
76.920166,9.237091,77.47281
275.2102,9.904541,275.38837
14.706482,1.467102,14.779479
45.445618,26.51648,52.615852
250.14142,19.436798,250.89543
275.6585,1.5661926,275.66296
874.48584,2.3541565,874.489
0.44702148,23.765045,23.769249
33.2594,3.4683838,33.439754
96.59454,2.6182861,96.63002
40.86682,14.691437,43.427357
218.841,3.9797363,218.8772
125.76099,0.96276855,125.76467
93.959656,22.119293,96.52813
80.97772,1.8692627,80.9993
8.352722,1.1023254,8.425146
11.283752,19.881775,22.860622
454.9552,11.437744,455.09897
634.5687,20.351501,634.895
40.88391,17.462646,44.45715
846.26086,29.114624,846.76154
390.50726,15.654053,390.8209
3.4412842,3.3056946,4.7717977
671.55786,19.942352,671.8539
638.5137,11.972443,638.6259
886.65265,0.6682739,886.6529
44.673157,7.9390564,45.373116
21.615662,1.4902954,21.666975
163.60522,9.599426,163.8866
178.17847,3.804718,178.21909
519.24225,3.0325317,519.2511
68.392395,3.1470947,68.46476
184.4107,8.943573,184.62746
10.28009,21.498047,23.829525
23.095886,5.769287,23.80556
290.15753,0.38504028,290.15778
381.89893,3.9370117,381.91922
133.58209,4.422577,133.65529
140.67267,14.464264,141.41434
512.5679,8.539185,512.639
234.02606,23.629822,235.216
15.99939,18.724335,24.628868
693.3954,12.831512,693.5141
31.483215,19.115875,36.83218
607.31586,26.188232,607.88025
273.40186,6.8107605,273.48666
11.3984375,1.7434387,11.531
235.69598,29.154938,237.49234
24.475037,27.601105,36.88968
239.04895,21.004883,239.97002
742.0491,17.671783,742.25946
438.3806,5.614105,438.41656
11.548889,16.552307,20.183056
9.452332,15.627563,18.263826
24.19635,0.8876343,24.212627
661.97595,0.13348389,661.97595
518.9983,23.026367,519.50885
81.00171,21.560211,83.82195
38.296204,8.794983,39.29314
419.35767,18.522003,419.7665
45.782043,8.543396,46.572365
447.77734,2.4032288,447.78378
120.053894,10.737701,120.53313
62.519714,8.981293,63.161526
268.48816,16.51651,268.9957
2.083496,0.7319031,2.208311
210.5075,1.8779907,210.51588
141.13287,5.7391357,141.24951
76.02594,1.5668945,76.04208
524.8829,3.3110657,524.8933
475.40707,8.444214,475.4821
48.34204,3.786438,48.4901
655.4414,4.8573914,655.4594
191.97015,14.747803,192.5358
8.098206,0.40563965,8.108358
623.92615,7.2404785,623.9682
51.621704,24.155731,56.993855
393.87683,2.939392,393.8878
113.52435,9.51712,113.92258
109.467285,7.9325867,109.754326
38.689636,5.692322,39.106144
653.849,4.4488525,653.86414
459.32867,1.8078308,459.3322
47.856384,10.072449,48.90488
213.54309,21.598114,214.63255
497.87134,3.0065002,497.8804
93.020325,12.307068,93.83094
107.811584,5.5074463,107.95216
454.5489,14.622742,454.78403
859.4747,8.031891,859.5122
565.7776,4.29245,565.7939
204.94049,12.087738,205.29666
710.4708,0.84277344,710.4713
718.93805,42.78955,720.21027
42.165222,33.656403,53.950527
247.56433,44.805817,251.58629
399.38202,13.779022,399.61963
696.84644,12.747223,696.963
148.43689,7.23349,148.61304
260.17914,10.418854,260.38766
504.23547,49.54312,506.6635
44.264282,16.25061,47.153038
10.493591,5.354767,11.780873
76.91907,11.98703,77.84749
126.16052,22.682892,128.18343
223.54224,6.164276,223.62721
206.6206,22.759186,207.87029
127.71771,11.175507,128.20572
